"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000227232.5",110.298252598918,0.347901142772859,0.425174983156702,0.818254028470525,0.413212150244953,0.722694255595026
"ENSG00000238009.6",14.5475443106928,-0.232205938826673,1.18674844630171,-0.195665677549696,0.844871850433986,0.943356879838693
"ENSG00000233750.3",112.804263696997,0.152390095582332,0.88996070433275,0.17123238682385,0.864041042549149,0.949667931560886
"ENSG00000268903.1",3360.68162425647,-1.02720560619171,0.635290281729599,-1.61690747636672,0.10589825434292,0.487570169650574
"ENSG00000269981.1",1841.33673904357,-0.85118118017021,0.611515708127494,-1.39192038545762,0.163946508006661,0.54313821456262
"ENSG00000239906.1",77.8390262643491,-0.542291321195419,0.72213138765698,-0.750959355131941,0.452677117177207,0.749645882489259
"ENSG00000241860.6",61.4509305212421,-0.302032216941245,0.672114313007516,-0.449376260996049,0.653160253127917,0.857974034944448
"ENSG00000279928.2",7.08832775684807,-0.49864317527336,1.158520626816,-0.430413722234532,0.666894715160796,0.863676324227422
"ENSG00000279457.4",211.056047280483,0.677641074709281,0.394672630386336,1.71697002157447,0.0859846495935129,0.463367832350127
"ENSG00000228463.9",132.93448213018,0.0784531637963694,0.856876313944369,0.0915571623578135,0.927049887919343,0.973876431095225
"ENSG00000237094.11",39.7552466016656,1.04991185496258,0.615264343641361,1.70644027370221,0.0879261375929609,0.464701568492902
"ENSG00000250575.1",26.0270615574538,0.720259644758565,1.09962997130965,0.655001831116642,0.512466575112403,0.784814654274203
"ENSG00000225972.1",423.702231040114,6.8108481299845,1.23039262743737,5.53550791682649,3.10327715621059e-08,3.88452718028661e-05
"ENSG00000225630.1",2051.39948592772,2.14668829429786,0.682170271357145,3.14685113736652,0.00165038963138606,0.0865969778261041
"ENSG00000237973.1",941.357703930857,2.30223926615729,0.776466432243029,2.96502098552626,0.00302662282598461,0.117475197594612
"ENSG00000229344.1",145.565830849362,1.89944214976284,0.913870971324604,2.07845769190995,0.0376672237824167,0.360611452157859
"ENSG00000240409.1",18.8091082438931,1.99565995477385,0.876735285385875,2.27624003281162,0.0228316470787471,0.30004739349944
"ENSG00000248527.1",9850.51423230721,1.78692564894996,0.591530505751921,3.02085121827913,0.00252065184296589,0.107688000498751
"ENSG00000198744.5",132.819567099845,3.99860143621281,0.936363021035579,4.27035385463057,1.95163073616049e-05,0.00507626758231458
"ENSG00000228327.3",420.347618636272,-0.0404204378123142,0.552579373186345,-0.0731486547882475,0.941687824408009,0.978729826011604
"ENSG00000237491.8",17.9225810690929,0.492930102282424,0.542400613020565,0.908793409242949,0.363459186208495,0.689072376124929
"ENSG00000230092.7",8.41083073562905,0.0691067492127961,0.627266230104505,0.110171321037453,0.912273506290098,0.969727973015034
"ENSG00000228794.8",239.393785088193,0.651264672486262,0.523732448467457,1.24350643996183,0.213681269315975,0.582022094636251
"ENSG00000225880.5",52.4335079342104,0.567903722542104,0.579801646069127,0.979479320888985,0.32734320132068,0.66499111682419
"ENSG00000187634.11",6.37189434497822,0.700644084742741,0.852146930514026,0.822210418947473,0.410957149964293,0.720785515324009
"ENSG00000188976.10",1174.01444150787,0.574461941849753,0.350913122940766,1.63704889984044,0.101620252512755,0.48285893649477
"ENSG00000187961.13",335.351807142473,0.804693490424466,0.477379291272073,1.68564808976149,0.09186360079984,0.470882488265017
"ENSG00000187583.10",40.6743267120876,0.311575107400453,0.506599085341092,0.61503290553845,0.538532989703825,0.799008136559956
"ENSG00000187642.9",43.3887234949459,2.77968376494818,1.16109586735049,2.39401744775059,0.0166649560191386,0.268516282503064
"ENSG00000272512.1",14.2393992303016,1.30805851395648,1.28754274753216,1.01593404682186,0.309660794441975,0.652443578726933
"ENSG00000188290.10",107.777023369783,3.04377882889488,1.21658505038053,2.50190385616101,0.0123527465499417,0.237844709953998
"ENSG00000187608.8",1521.04794649188,3.34278611574184,0.958795269998938,3.48644410369854,0.000489487664200524,0.0449395460164305
"ENSG00000188157.14",169.27039385,2.00693320715522,0.642316161815746,3.1245254696408,0.00178092103225916,0.088878159110892
"ENSG00000217801.9",22.1325882587209,0.921974946232144,0.624207327778308,1.4770331990713,0.139666738253779,0.523436645536429
"ENSG00000131591.17",401.117511101889,0.526973521282724,0.488303263515579,1.07919311758995,0.280501647124831,0.631010556960139
"ENSG00000223823.1",10.6199099800524,-0.579476503210112,1.13051101540622,-0.512579263105979,0.608245661917169,0.834532474980431
"ENSG00000186891.13",415.398392932182,0.900802354728264,0.936138074677062,0.962253730614485,0.335922164947313,0.670863327821968
"ENSG00000186827.10",300.698497318734,1.39994940302319,0.911871965399579,1.53524777177434,0.124722977903368,0.508126892076618
"ENSG00000078808.16",3778.56956799156,-0.124134462774674,0.203060324326326,-0.611318154772495,0.540988974354448,0.800738009615557
"ENSG00000176022.4",361.101888691753,-0.865105259626537,0.522318501449109,-1.65627918066545,0.097665294636133,0.477548955315545
"ENSG00000184163.3",29.0662358713142,-0.548472607388033,0.578675788194805,-0.947806385850371,0.343228029002877,0.676552235016848
"ENSG00000260179.1",17.8307707179554,0.517226410068539,0.700503531391602,0.738363743921505,0.460293440331297,0.755398700849078
"ENSG00000160087.20",1673.13366697519,-0.587444355520826,0.397703346247369,-1.47709180992266,0.139651028658614,0.523436645536429
"ENSG00000230415.1",9.75608869160485,0.777163389135706,0.711118056755506,1.09287534151718,0.274448536213671,0.626051970266647
"ENSG00000162572.20",184.893630173966,1.38968235065784,0.625483162504922,2.22177419627488,0.0262985693951243,0.320862525594977
"ENSG00000131584.18",2017.27363670241,-0.0525056156052292,0.356810905958554,-0.147152496542043,0.8830116545907,0.958352184276263
